Year,Sem,College,Dept,Num,Section,Instructor,Course Name,Course Level,Total # Students,# Responses,Response Rate,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
2025,Spring,College of Fine Arts,ARC,48638,1,"LEE, JUNEY",STRUC DGN 2 (GRAD),Graduate,27,10,37.0%,9.20,4.20,4.40,4.30,3.60,4.50,4.00,4.30,4.20,4.00
2025,Spring,College of Fine Arts,ARC,48639,A,"SHAW, DIANE",AMERICAN REGIONALISM,Graduate,3,3,100.0%,8.00,4.67,4.67,4.67,4.33,4.33,4.67,5.00,4.33,4.33
2025,Spring,College of Fine Arts,ARC,48640,A,"HUBER, MATTHEW",MARCHSTUDIO PRX II,Graduate,26,11,42.3%,18.64,4.64,4.36,4.45,4.55,4.64,4.45,4.64,4.45,4.09
2025,Spring,College of Fine Arts,ARC,48640,A,"DAVIS, JEFFREY",MARCHSTUDIO PRX II,Graduate,26,11,42.3%,19.55,4.55,4.64,4.64,4.73,4.64,4.64,4.55,4.64,4.27
2025,Spring,College of Fine Arts,ARC,48640,A,"BOFFI, LIZA",MARCHSTUDIO PRX II,Graduate,26,11,42.3%,19.55,4.45,4.55,4.55,4.55,4.64,4.73,4.64,4.64,4.27
2025,Spring,College of Fine Arts,ARC,48640,A,"GROFF, BRAD",MARCHSTUDIO PRX II,Graduate,26,11,42.3%,19.55,3.55,3.55,3.55,3.91,3.73,3.82,4.09,3.73,4.00
2025,Spring,College of Fine Arts,ARC,48642,A,"CHEN, XIN",(HIST ASIAN ARCH),Graduate,5,2,40.0%,6.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48644,A,"GORAL, Sinan",MARCH PRE-THESIS,Graduate,17,6,35.3%,2.00,4.83,4.50,4.50,4.67,4.33,4.50,4.67,4.50,4.17
2025,Spring,College of Fine Arts,ARC,48647,A,"MCCULLOUGH, JOEL",MAT & CONSTR SYS,Graduate,26,8,30.8%,8.38,3.63,3.63,3.50,3.38,3.63,3.50,4.63,3.00,3.00
2025,Spring,College of Fine Arts,ARC,48649,A,"KRISSEL, MATTHEW",DSGN LDRSHP,Graduate,17,7,41.2%,4.57,3.71,3.43,3.43,3.29,3.43,3.29,3.86,3.43,3.14
2025,Spring,College of Fine Arts,ARC,48658,A,"DARGA OZUTEMIZ, Asli Selay",CONSTR VLU,Graduate,43,34,79.1%,5.35,4.44,4.47,4.53,4.15,4.50,4.47,4.82,4.50,4.03
2025,Spring,College of Fine Arts,ARC,48660,F,"HAYES, HAL",ASOS II MARCH,Graduate,5,4,80.0%,18.00,5.00,4.50,4.50,4.75,4.75,4.25,4.75,4.75,4.75
2025,Spring,College of Fine Arts,ARC,48660,D,"DAMIANI, GERARD",ASOS II MARCH,Graduate,4,1,25.0%,24.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48660,1,"ANKLESARIA, SAROSH",ASOS II MARCH,Graduate,13,1,7.7%,21.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48660,A,"ANKLESARIA, SAROSH",ASOS II MARCH,Graduate,2,1,50.0%,21.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48661,A3,"CLAUS, LORI",PROF DVP,Graduate,11,6,54.5%,5.50,4.67,4.50,4.67,4.50,4.50,4.33,4.67,4.17,3.83
2025,Spring,College of Fine Arts,ARC,48667,A,"TORELLO, FRANCESCA",MATL HIST,Graduate,3,0,0.0%,,,,,,,,,,
2025,Spring,College of Fine Arts,ARC,48668,A,"ACHNANI, VICKY",SAN BAMBOO GRNHS,Graduate,8,2,25.0%,8.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50
2025,Spring,College of Fine Arts,ARC,48670,A,"KARIMI, MARYAM",MARCH THESIS,Graduate,2,1,50.0%,24.00,5.00,4.00,5.00,4.00,5.00,4.00,5.00,5.00,4.00
2025,Spring,College of Fine Arts,ARC,48677,A3,"DANES, STEFANI",HINES COMP,Graduate,24,7,29.2%,19.14,4.71,4.71,4.57,4.71,4.86,4.57,4.86,4.71,4.86
2025,Spring,College of Fine Arts,ARC,48685,A,"SAWYER, NATHAN",(DSN DOC IN REVIT),Graduate,11,7,63.6%,5.43,4.57,4.57,4.71,4.71,4.71,4.71,4.86,4.57,4.43
